,销售商品、提供劳务收到的现金,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资所收到的现金,取得投资收益所收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,取得子公司及其他营业单位支付的现金净额,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加:期初现金及现金等价物余额,六、期末现金及现金等价物余额,净利润,少数股东权益,未确认的投资损失,资产减值准备,固定资产折旧、油气资产折耗、生产性物资折旧,无形资产摊销,长期待摊费用摊销,待摊费用的减少,预提费用的增加,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,递延收益增加（减：减少）,预计负债,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,已完工尚未结算款的减少(减:增加),已结算尚未完工款的增加(减:减少),其他,经营活动产生现金流量净额,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,现金及现金等价物的净增加额,stock_code
2008-12-31,"309,548.65","2,307.71","1,853.39","313,709.76","277,135.57","8,762.61","10,442.41","11,749.78","308,090.36","5,619.40",--,540.00,17.41,--,195.00,752.41,"13,969.11",786.87,--,6.93,"14,762.91","-14,010.50",--,--,"135,665.41",--,--,"135,665.41","101,793.73","4,957.54",--,--,"106,751.27","28,914.14",-451.29,"20,071.74","18,647.21","38,718.95","17,152.21",--,--,916.11,"5,463.46",118.84,--,--,--,19.47,--,-68.45,--,--,"5,221.98",515.99,-78.39,17.11,"-17,478.78","-19,781.34","13,601.16",--,--,--,"5,619.40",--,--,--,"38,718.95","18,647.21",--,--,"20,071.74",600522
2008-09-30,"217,181.76","1,969.34","3,542.08","222,693.18","199,260.59","6,881.62","8,581.01","10,960.77","225,683.99","-2,990.82",--,540.00,17.41,--,272.00,829.41,"8,349.34",--,--,--,"8,349.34","-7,519.93",--,--,"77,835.65",--,--,"77,835.65","67,027.40","3,800.40",--,--,"70,827.80","7,007.85",-122.92,"-3,625.81","18,647.21","15,021.40",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"15,021.40","18,647.21",--,--,"-3,625.81",600522
2008-06-30,"134,638.34","1,708.60","2,324.51","138,671.45","134,382.93","5,393.44","5,650.18","7,715.55","153,142.10","-14,470.65",--,540.00,6.60,--,272.00,818.60,"5,286.53",--,--,--,"5,286.53","-4,467.93",--,--,"56,294.69",--,--,"56,294.69","35,673.21","2,191.94",--,--,"37,865.15","18,429.54",-57.03,-566.06,"18,647.21","18,081.15","9,611.03",--,--,672.05,"2,574.08",57.89,-212.80,--,--,4.90,--,-75.15,--,--,"1,933.28",-428.71,-168.01,--,-994.89,"-19,779.28","-7,665.04",--,--,--,"-14,470.65",--,--,--,"18,081.15","18,647.21",--,--,-566.06,600522
2008-03-31,"50,068.56",678.54,"4,993.14","55,740.24","46,124.13","3,608.81","2,027.59","4,129.08","55,889.60",-149.36,--,--,--,--,272.00,272.00,"2,005.17",--,--,--,"2,005.17","-1,733.17",--,--,"26,629.50",--,--,"26,629.50","19,681.88","1,140.46",--,--,"20,822.34","5,807.16",-23.04,"3,901.59","18,647.21","22,548.80",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"22,548.80","18,647.21",--,--,"3,901.59",600522
2009-12-31,"385,848.83","1,393.80","6,673.90","393,916.53","328,524.98","12,353.78","20,361.71","13,422.54","374,663.01","19,253.52",--,"1,434.90",391.00,--,--,"1,825.90","21,582.87",129.08,--,--,"21,711.95","-19,886.05","41,635.00",--,"129,477.00",--,--,"171,112.00","137,883.18","5,473.32","1,844.17",216.50,"143,573.00","27,539.00",107.87,"27,014.34","38,718.95","65,733.28","38,331.24",--,--,"1,157.82","8,204.84",124.97,--,--,--,-178.62,--,-207.70,--,--,"3,302.68","-1,425.14","-1,519.59",51.93,"-7,654.19","-34,715.45","13,264.23",--,--,516.50,"19,253.52",--,--,--,"65,733.28","38,718.95",--,--,"27,014.34",600522
2009-09-30,"262,568.19","1,455.43","1,519.67","265,543.29","230,119.14","8,918.69","14,544.09","15,392.02","268,973.94","-3,430.65",--,914.20,210.20,--,--,"1,124.40","19,422.72",348.33,--,"1,600.00","21,371.05","-20,246.65","43,000.00",--,"86,644.64",--,4.65,"129,649.29","89,593.84","4,514.48","1,844.17","1,280.00","95,388.32","34,260.97",28.45,"10,612.12","38,718.95","49,331.07",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"49,331.07","38,718.95",--,--,"10,612.12",600522
2009-06-30,"163,048.53",528.69,"1,026.69","164,603.91","150,352.10","6,788.45","9,737.89","9,378.40","176,256.83","-11,652.92",--,759.24,10.20,--,--,769.44,"11,548.99",348.33,--,"1,600.00","13,497.32","-12,727.88","43,000.00",--,"47,134.92",--,"7,002.00","97,136.92","65,304.08","1,910.97",--,"7,280.00","74,495.05","22,641.87",-6.93,"-1,745.86","38,718.95","36,973.08","18,380.12",--,--,"1,097.92","3,250.68",61.73,--,--,--,6.66,--,-102.34,--,--,"1,598.31","-1,594.98",-74.18,--,"4,890.93","-37,917.16","-1,250.60",--,--,--,"-11,652.92",--,--,--,"36,973.08","38,718.95",--,--,"-1,745.86",600522
2009-03-31,"69,064.66",--,537.44,"69,602.10","62,745.26","4,716.55","3,994.66","5,862.52","77,319.00","-7,716.90",--,--,10.20,--,0.35,10.55,"5,302.30",800.00,--,--,"6,102.30","-6,091.75","43,000.00",--,"28,484.85",--,1.03,"71,485.88","40,396.85",780.05,--,"1,280.00","42,456.90","29,028.98",-40.67,"15,179.66","38,718.95","53,898.61",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"53,898.61","38,718.95",--,--,"15,179.66",600522
2010-12-31,"434,911.66","2,291.60","50,103.42","487,306.68","350,170.57","19,207.18","22,737.43","92,937.67","485,052.85","2,253.83",--,"1,373.81","2,697.15","1,966.35",--,"6,037.31","57,196.25",--,"7,466.08",219.56,"64,881.89","-58,844.57",245.00,--,"291,924.90",--,--,"292,169.90","250,344.40","15,776.30","3,418.54",--,"266,120.70","26,049.20",3.93,"-30,537.61","82,109.39","51,571.78","45,879.24",--,--,"1,503.20","9,784.41",274.48,--,--,--,22.09,--,65.10,--,--,"5,367.97","-5,177.80",-283.69,-37.38,"-13,078.87","-47,952.57","12,123.63",--,--,"-6,235.99","2,253.83",--,--,--,"51,571.78","82,109.39",--,--,"-30,537.61",600522
2010-09-30,"302,229.26","1,415.80","7,334.66","310,979.73","254,814.56","13,203.94","19,632.81","45,015.97","332,667.29","-21,687.56",--,540.00,68.47,"7,909.87",--,"8,518.34","41,200.05",--,"7,466.08",--,"48,666.13","-40,147.79",--,--,"196,073.59",--,--,"196,073.59","141,440.45","11,777.67","1,328.85",--,"153,218.13","42,855.46",400.29,"-18,579.60","82,109.39","63,529.79",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"63,529.79","82,109.39",--,--,"-18,579.60",600522
2010-06-30,"193,325.25",673.11,"3,199.51","197,197.87","177,778.16","10,271.80","13,406.23","35,414.97","236,871.17","-39,673.29",--,540.00,68.47,--,--,608.47,"32,150.45",--,"7,466.08",--,"39,616.53","-39,008.05",--,--,"161,318.94",--,--,"161,318.94","97,520.35","9,151.64",282.24,--,"106,671.99","54,646.95",151.53,"-23,882.86","82,109.39","58,226.53","20,915.43",--,--,"1,097.25","4,293.27",69.19,--,--,--,-33.13,--,406.10,--,--,"2,475.23",265.45,-29.22,-69.04,"-6,810.26","-49,622.74","-12,630.82",--,--,--,"-39,673.29",--,--,--,"58,226.53","82,109.39",--,--,"-23,882.86",600522
